Street or Road Name,Secondary street name,1: Are you in favour of reducing traffic in Littlemore?,2: How many journeys per week do you make - CAR - BEFORE LTN,2: How many journeys per week do you make - CAR - AFTER LTN,2: How many journeys per week do you make - MOTORBIKE - BEFORE LTN,2: How many journeys per week do you make - MOTORBIKE - AFTER LTN,2: How many journeys per week do you make - VAN - BEFORE LTN,2: How many journeys per week do you make - VAN - AFTER LTN,2: How many journeys per week do you make - BUS - BEFORE LTN,2: How many journeys per week do you make - BUS - AFTER LTN,2: How many journeys per week do you make - FOOT - BEFORE LTN,2: How many journeys per week do you make - FOOT - AFTER LTN,2: How many journeys per week do you make - WHEELCHAIR etc - BEFORE LTN,2: How many journeys per week do you make - WHEELCHAIR etc - AFTER LTN,2: How many journeys per week do you make - BIKE - BEFORE LTN,2: How many journeys per week do you make - BIKE - AFTER LTN,2: How many journeys per week do you make - SCOOTER - BEFORE LTN,2: How many journeys per week do you make - SCOOTER - AFTER LTN,"3: If you drive, the reasons for this are:","4. Overall, the LTN's impact on you has been:",5. Location of traffic filters: Church Hill Road,5. Location of traffic filters: Beauchamp Lane,5. Location of traffic filters: Littlemore Road,5. Location of traffic filters: Mayfair Road,5. Location of traffic filters: Liddell Road,5. Location of traffic filters: Bartholomew Road,6: Do you think the current Cowley LTNs should be,7:  What is the biggest benefit of the LTNs?,8: What is the biggest problem of the LTNs?,9: Have you filled in the county's online LTN consultation?,10. Do you have any other comments or ideas to improve traffic in our area?
Broadfields,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Remove,Agree,Agree,Remove,Kept with alterations,,,No,
Broadfields,,Yes,21,21,,,,,,,7,7,,,,,,,"Work, Shopping, Health appointments, All routes to family blocked",5,No opinion,Agree,Remove,No opinion,No opinion,Remove,Removed,Only for people who live in LTNs,"it has divided the community. we in littlemore are forced to travel miles out of our way to get to cowley. cut off from family. doctor, dentist, shops",Yes,"Littlemore road Cowley is a main road. The main route to our doctors, dentist, shops. we are now cut off from family in Littlemore. This road Littlemore road should be OPEN!
I live on broadfields to get from my family in Gwyneth road you have to travel miles out of your way to Iffley and Sandford. How can this be a better way to travel.. All journeys take so much longer. The open roads such as Newman road are now very busy and dangerous"
Broadfields,,No,4,4,,,,,,,,,,,2,2,,,Shopping,,Agree,Agree,No opinion,No opinion,,Remove,Kept with alterations,,Bartholomew road is on a bus route,No,parish councillor can not read comments on paper
Broadfields,,Yes,10,10,,,,,,,,,,,6,6,,,"Work, Shopping",5,Remove,Agree,Remove,Agree,Remove,Remove,Kept with alterations,reducing traffic for some residents,,Yes,"please do everything to stop people using cars for school runs. Bike, walk, bus and strict local schools for local people"
Broadfields,,,3,3,,,,,2,2,1,1,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,traffic moves to other locations,No,
Broadfields,,No,,,,,,,4,4,3,3,,,,,,,,,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,pointless,No,
Broadfields,,No,,,,,,,,,,,,,,,,,"Work, School run",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,disrupt people lives,No,
Broadfields,,Yes,1,1,,,,,,,lots,lots,,,several,several,,,Shopping,4,Remove,Remove,No opinion,No opinion,No opinion,Remove,Removed,a few homes get a quiet life/street,it is pushing more traffic onto other roads that can't cope+/ or are made worse by having more traffic. People in the LTN may not get a 999 response so quickly,No,"I think sandy lane west is dangerous-people do not stick to 20mph, as there are 2 schools on this road there are lots of children about and crossing on a blind bend. I didn't think humps or planters etc will make a difference to those that speed, but they may add to congestion in rush hour. Maybe a traffic light crossing on the straight/past the bend will help safety. If the LTN planters are removed please put them to good use in a park or something similar, please don't waste the material and money spent on them."
Broadfields,,Yes,,,,,,,,,,,,,7-10,7-10,,,,3,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,safer roads for residents,re-directing traffic onto other roads,No,
Broadfields,,Yes,,,,,,,10-15,10-15,10+,10+,,,,,,,,3,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,safer for pedestrians,annoying for drivers,No,
Cardinal Close,,Yes,7,7,,,,,1,1,3,3,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Change,Remove,No opinion,No opinion,Change,Removed,None,More pollution because longer journeys,No,"Remove island at the top of Newman Road, this causes a lot of traffic. Stop doing road works all at once and do more road works at night when less traffic about."
Cardinal Close,,Yes,6,1,,,5+,5+,,,0,5,,,,,,,"Work, Shopping",1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,For us personally it has stopped me using the car for short journeys. Before I would drive to work but not I walk. Just use car for weekly shop.,,Yes,
Cardinal Close,,No,10,10,,,,,,,,,,,,,,,"Work, Shopping, Health appointments, School run",4,No opinion,No opinion,Remove,Remove,No opinion,Remove,Removed,,The traffic on Newman Road is very heavy. It is a narrow road with cars parked on both sides.,No,
Cardinal Close,,No,14,14,,,,,,,,,,,,,,,Work,5,Change,No opinion,Remove,Change,Change,Remove,Kept with alterations,,Increased traffic on main road making us spend more time and fuel,Yes,Invest in alternative transport. Speed limits.
Cardinal Close,,No,Every day,Every day,,,,,,,,,,,,,,,"Work, Shopping",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"Traffic on other roads + longer journey, more fuel, more pollution",No,"Speed bumps, 20mph limit"
Cardinal Close,,Yes,4,0,,,,,,,,,,,,,,,Shopping,1,Agree,Agree,Agree,Agree,Agree,Change,Kept with alterations,Less traffic along Newman Road,"I think if you live in this area you should be allowed to use Bartholomew Road (e.g., checking vehicles reg --> residents only access)",No,This has also made Between Towns Road more congested
Cardinal Close,,No,Many,Many,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",1,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Removed,None,Causes more traffic in my area as no short cut road,No,
Cardinal Close,,Yes,,,5,5,,,,,,,,,,,,,Work,2,Change,Change,Agree,Remove,Remove,No opinion,Kept with alterations,,,No,
Cardinal Close,,No opinion,20,20,,,15,15,,,30,30,,,8,8,14,14,"Work, Shopping, Health appointments",4,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,,,"Traffic is diverted, causing more traffic",No,
Cardinal Close,,No,12-14,12-14,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Extended journey times; parking on grass verges,No,"- Install bollards on verges to stop parking (especially near junctions)
- Newman Road junction needs improvement (two collisions there)"
Cardinal Close,,No,21,21,,,,,,,3-4,3-4,,,,,,,"Work, Shopping, Health appointments, School run, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Creation of race tracks; longer journeys,No,
Cardinal Close,,Yes,,,,,,,1,1,,1,,,3,3,,,,2,No opinion,No opinion,No opinion,Agree,Agree,Agree,Kept as is,Easier to cycle,Still lots of cars at peak times,,
Cardinal Close,,No,5-6,1-2,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments",5,No opinion,Remove,Remove,No opinion,Remove,Remove,Removed,None,Cause more traffic in other areas,No,No through roads after a certain time
Carpenter Close,,No,50,50,,,,,,,,,,,,,,,"Work, Shopping, Health appointments, School run",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Making more journeys and burning more fuel,No,
Carpenter Close,,Yes,15,20,,,,,,,5,5,,,,,,,Work,5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Pushes traffic elsewhere,No,"- Cheaper prices
- Better incentives for not using your car
- Incentives for eScooter use"
Carpenter Close,,Yes,,,,,,,,,,,,,Yes,Yes,,,Don't drive,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,,Less traffic for local people if affects,Creates more traffic elsewhere,Yes,
Carpenter Close,,No,2,1 (can't get anywhere without detours),,,,,,,,,,,,,,,"Health appointments, Caring responsibilities",5,No opinion,Remove,Remove,No opinion,No opinion,Remove,Removed,None,Getting anywhere without long detours; heavy traffic on main roads,Yes,Remove LTNs
Carpenter Close,,Yes,4,4,,,,,,,,,,,,,,,"Shopping, Health appointments",,Remove,Remove,Remove,Remove,Remove,Remove,Removed,,,No,Remove traffic calming on Newman Road junction
Champion Way,,Yes,5,5,,,,,,,,,,,,,,,"Work, Shopping",,,No opinion,Remove,No opinion,No opinion,Change,Kept with alterations,Some areas became quieter,Displaced traffic,No,
Champion Way,,,5,5,,,,,,,,,,,,,,,"Work, Shopping, School run",,No opinion,No opinion,Remove,No opinion,Remove,Remove,,None,More traffic jams,No,Don't see the point of LTNs; make traffic worse; need to reduce traffic not make it worse for people; need to drive to work / school
Champion Way,,Yes,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"Work, Shopping, School run",4,Change,Change,Remove,Change,Change,Remove,Removed,Ride bike safely,Traffic is worse,No,
Champion Way,,Yes,10,10,50,100,0,0,0,0,1,0,0,0,0,0,0,3,"Work, Shopping, Gyms, Health appointments, Caring responsibilities",5,Remove,Agree,Remove,Remove,Agree,Change,Kept with alterations,Nothing,Everything,No,"Make Bartholomew Road timed, e.g. closed 0730-1630"
Champion Way,,No opinion,,,,,Lots,Lots,,,,,,,,,,,Work,,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Traffic buildup,No,Remove LTN to improve traffic flow
Champion Way,,No opinion,2,2,,,,,,,7,7,,,0,2 (coincidence),,,"Shopping, Health appointments",3,No opinion,Agree,Remove,Agree,No opinion,No opinion,Kept with alterations,Quieter roads for cycling,"Buildup of traffic on roads leading out of Littlemore e.g. Newman Rd, Iffley Rd",No,
Champion Way,,No,5,0,,,,,,,5,5,,,,,,,School run,5,Remove,No opinion,Remove,Remove,No opinion,Remove,Removed,None,More traffic,No,Remove LTNs
Champion Way,,No opinion,2,1,,,,,,,,,,,,,,,Shopping,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Don't know,,,,
Champion Way,,Yes,,,,,,,,,Daily,,,,Daily,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Less traffic,None,No,None
Champion Way,,Yes,4,2,,,7,7,0,0,0,2,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Agree,Remove,Agree,Agree,Remove,Removed,None for us; more driving reqd to get anywhere,"Long queues, difficult to get out of Littlemore by car",No,"All that's happening is long queues; longer driving distances to Cowley for shopping, dentist, doctors etc. Very difficult to get out of Littlemore if you have to use Littlemore roundabout or Newman Road"
Champion Way,,No,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Work, Shopping, Health appointments",5,Agree,Remove,Remove,Agree,Agree,Remove,Removed,"None, more traffic in other roads",Cause more traffic & congestion in Littlemore,Yes,
Chapel Lane,,No,3-5,3-5,,,,,,,2-4,2-4,,,,,,,"Shopping, Health appointments, Caring responsibilities",3,Remove,Remove,Remove,No opinion,Remove,Remove,Removed,None,Causes more traffic,No,
Chapel Lane,,Yes,4,4,,,,,,,2,2,,,,,,,"Work, Shopping, Health appointments, School run",3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Kept with alterations,Safety and quiet,Traffic jams moved to other areas,,Provide regular bus service between Littlemore and Cowley Centre
Chapel Lane,,Yes,0-1,0-1,,,,,,,,1,,,10,10,,,,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Kept with alterations,Good for cyclists and resident's health,Increased traffic on neighbouring roads,No,
Chapel Lane,,Yes,5,5,1,1,,,,,,,,,5,5,,,Work,3,No opinion,No opinion,No opinion,No opinion,No opinion,Agree,Kept as is,"Less traffic, better for cyclists and pedestrians",Longer commuting / travel times,No,
Chapel Lane,,Yes,4,4,,,,,,,7,7,,,,,,,"Shopping, Health appointments",4,No opinion,Remove,Remove,No opinion,No opinion,No opinion,Don't know,Less traffic in some neighbourhoods,"Traffic is diverted, making other roads busier",No,
Chapel Lane,,Yes,14,14,,,,,2,2,7,7,,,,,,,"Work, Shopping",3,No opinion,No opinion,Agree,No opinion,No opinion,Change,Kept with alterations,Great for those who live in LTN,Channelling all traffic to one or two roads,No,- Need traffic plan for new housing developments in Littlemore
Chestnut Close,,No opinion,,,,,,,,,,,,,,,,,"Work, Shopping, Caring responsibilities",,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Cause more traffic on other roads; make simple journeys impossible,No,
Chestnut Close,,Yes,4,3,,,,,,,3,4,,,,,,,Shopping,5,No opinion,No opinion,Remove,No opinion,No opinion,No opinion,Removed,None,"Increased traffic on Iffley Road, now have to drive twice as far",No,
Chestnut Close,,Yes,,,,,,,,,,,,,,,,,"Work, Shopping, Health appointments, School run, Caring responsibilities",5,Remove,Remove,Remove,No opinion,No opinion,No opinion,Removed,Safer for children,"Longer car journeys, more traffic on non-LTN roads.",Yes,
Chestnut Close,,Yes,7,7,,,,,1,1,4,4,,,4,4,,,"Work, Shopping",4,No opinion,No opinion,Remove,No opinion,No opinion,No opinion,Kept with alterations,Safer cycling,Redirect traffic to chokepoints,No,
Chestnut Close,,Yes,10,10,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments",,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Pushes traffic onto other roads,No,"20mph limit through Cowley Road, Littlemore"
College Lane,,Yes,,,,,,,,,,,,,,,,,"Work, Shopping, Gyms",3,,,,,,,Don't know,,,No,
College Lane,,Yes,,,,,7,7,,,,,,,,,,,Work,,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"Inconvenience, makes every journey longer",No,
College Lane,,,2,2,,,,,,,3,3,,,,,,,"Shopping, Health appointments",5,Change,No opinion,Change,No opinion,No opinion,No opinion,Removed,May calm traffic in roads with LTNs,"Increases traffic elsewhere, more polution",No,Couldn't find the consultation. Wider context / others affected not considered before installation
College Lane,,Yes,5,4,,,,,,,5,5,,,Lots by other household members,1 + Lots by other household members,,,"Work, Gyms",1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Safer cycling (esp. important for my son). Quieter roads. Less pollution.,Cross people online,No,"More traffic calming measures and ped crossings // Better secure parking for bikes // Car club for Littlemore ==> reduced car ownership, car parking conflict // Keep 3A bus + direct route to the station"
College Lane,,Yes,4,0,,,,,0,5,3,5,,,,,,,,2,Change,Agree,Agree,No opinion,No opinion,Agree,Kept with alterations,"Safety, less pollution and less traffic","Tailbacks, slowing down traffic at peak times",No,
College Lane,,No opinion,Yes,Yes,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments",2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Don't know,,,No,
College Lane,,,0,1,,,,,1,1,5,5,,6,6,,,,"Work, Shopping",1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,"Moire safety, noise reduction",The vocal opposition,Yes,"- Segregated bike lanes
- More safe crossings for bikes and pedestrians
- More reliable and affordable public transport
- More [bus] routes around the ring road"
College Lane,,Yes,5,5,,,,,,,,,,,,,,,"Work, Shopping",5,,,,,,,,None,Displace traffic; create congestion at remaining spots,Yes,Prefer traffic calming over blocking traffic
Compass Close,,Yes,2-3,2-3,,,,,,,2-3,2-3,,,,,,,"Work, Shopping, Health appointments",1,No opinion,Agree,Agree,Agree,Agree,Agree,Kept as is,Lower traffic,Occasional congestion during busy periods,No,
Compass Close,,Yes,,,,,,,8,8,7-14,7-14,,,,,,,Don't drive,3,Agree,Agree,Agree,No opinion,No opinion,Agree,Kept with alterations,Children going to/from school can cross road; less pollution and noise; no rat running,Displacement of traffic; motorbikes using late night Fri/Sat as races through barriers,No,"- Install camera on Bartholomew Road
- Need zebra crossing / lights on Littlemore Road"
Compass Close,,Yes,2,2,,,,,10,10,20,20,,,,,,,"Shopping, Health appointments",4,Agree,Agree,Remove,Remove,Agree,Remove,Kept with alterations,No traffic,Traffic displacement; traffic jams and pollution on main roads,Yes,More frequent buses
Compass Close,,Yes,6,6,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",2,Remove,No opinion,No opinion,Remove,No opinion,Remove,Kept with alterations,Getting out of Compass Close,Newman Road is only way out,No,"Improve Newman Road junction, remove bottleneck"
Compass Close,,No,3,3,,,,,1,1,7,7,,,3,3,,,Work,4,No opinion,Remove,Remove,No opinion,No opinion,Change,Removed,None,Newman Road junction is now a terrible bottleneck,No,- Improve junction at Newman Road
Compass Close,,Yes,,,,,,,,,2,0 (lockdown),,,10,2,,,,1,No opinion,Agree,Agree,No opinion,No opinion,No opinion,Kept as is,"Streets are safer for people and animals, and quieter",None personally,No,"- Cycle lanes and wider roads (visually impaired, relies on cycling and lots of Oxford's roads are very narrow)"
Compass Close,,Yes,,,,,,,,,4,4,,,25,25,,,Don't drive,1,Agree,Agree,Agree,Agree,Agree,Agree,,"Road safety, before Littlemore Road one was installed was very fearful about speeding traffic on that road; didn't used to be able to cross road to the Co-op; used to get huge lorries on Littlemore Road for Templars Square; cat was killed on Littlemore Road, felt only a matter of time before a child was",Some previously quiet streets now have more traffic,Yes,Speeding needs to be tackled more robustly
Compass Close,,Yes,5 (work in Thame),5,,,,,0.5,0 (COVID),1,1,,,,,,,"Work, Health appointments, See family",1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Lovely and quiet; can cross the road safely; can drive out of our close safely,Turning right out of Newman Road; more parking in Newman Road (due to CPZ); ,Yes,"- Install bus gate camera on Bartholomew Road
- Improve Newman Road junction"
Compass Close,,Yes,,,,,,,5,3-5,,,,,,,,,,2,Agree,Agree,Remove,Remove,Agree,Agree,Kept with alterations,Low traffic,Too many filters in a small area; traffic displacement,No,
"Cowley Road, Littlemore",,Yes,3,1,,,,,,,5,3,,,,8,,,School run,1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Easier and less dangerous to cycle to school,No problems,Yes,"- Safe crossing at bottom of Beauchamp Lane
- Cycle lanes"
"Cowley Road, Littlemore",,Yes,7,4,,,,,,,2,4,,,1,4,,,Work,1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Less traffic! My children can safely cycle to school,People not understanding the benefits of LTNs,Yes,"- Improve safety of junction of Newman / Oxford Roads
- Install cameras at bus gates
- Inform people about benefits of traffic reduction"
"Cowley Road, Littlemore",,Yes,10,10,,,,,,,16,16,,,,,,,"Work, Health appointments",,No opinion,Remove,Remove,Remove,Remove,Agree,,One on Bartholomew Road makes school road safer,Causes congestion elsewhere; stops delivery and emergency vehicles; created race track for motorbikes; road works cause us to be cut off,No,
"Cowley Road, Littlemore",,,,,,,,,,,,,,,,,,,,,,,,,,,Removed,,,Yes,
"Cowley Road, Littlemore",,Yes,5,5,,,,,4,4,4,4,,,,,0,0.5,"Work, Shopping",2,No opinion,No opinion,Agree,Agree,No opinion,No opinion,Kept as is,Reduced traffic noise and pollution,Causes traffic on other roads (i.e. main thoroughfares),No,
"Cowley Road, Littlemore",,No opinion,3-4,1-2,,,,,,,,,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,No opinion,Remove,Remove,Remove,No opinion,Remove,Removed,None,Cause more traffic in other areas,No,
"Cowley Road, Littlemore",,,3,3,,,,,1,1,2,2,,,4,4,,,"Shopping, Gyms, Caring responsibilities",1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Less busy roads,Some build up of traffic on other routes,No,
"Cowley Road, Littlemore",,Yes,,,,,,,,,5,5,5,5,,,,,Don't drive,1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Less traffic and pollution on the roads,Emergency services access not as easy,No,"- Crossing on Cowley Road, Littlemore
- Add trees on Cowley Road, Littlemore"
"Cowley Road, Littlemore",,Yes,3,3,,,,,,,1,1,,,,,,,Shopping,3,No opinion,No opinion,Remove,No opinion,No opinion,No opinion,Kept with alterations,Stops a lot of cut-through traffic ,Residents unable to access certain areas by car,No,
"Cowley Road, Littlemore",,Yes,5,3,,,,,,,,,,,,,,,"Work, School run, Caring responsibilities",2,Agree,Agree,Agree,No opinion,No opinion,Agree,Kept as is,"Less traffic, less pollution, can get out of my driveway",Congestion on Newman Road and Cowley Road,No,- Improve Newman Road / Iffley Road junction
"Cowley Road, Littlemore",,Yes,20,15,,,,,,,10,10,,,0,5,,,Work,1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,"Safer cycling for children, less traffic on roads",Longer journey by car (but I don't mind this),Yes,Cheaper bus fares
"Cowley Road, Littlemore",,Yes,7,4,,,,,,,10,10,,,,,,,"Work, Shopping",3,Agree,Agree,Remove,Agree,Agree,Remove,Kept with alterations,None,Moved traffic to other roads making them busier,Yes,Double yellow lines on Cowley Road Littlemore to stop cars parking on the pavements
"Cowley Road, Littlemore",,No opinion,5,2,,,5,0,,,,,,,,,,,"Work, Shopping, Health appointments",5,No opinion,Remove,Remove,Remove,No opinion,Remove,Removed,None,Causing more traffic as only exit is onto Rosehill,No,
"Cowley Road, Littlemore",,Yes,9,7,,,14,14,,,15,18,,,4,4,,,"Shopping, Health appointments",1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Lower traffic,Newman Road exit,Yes,"- Install filter / slip road at the top of Newman Road for traffic turning left
- Bartholomew Road bus gate camera need installing"
"Cowley Road, Littlemore",,Yes,21-25,21-25,,,,,,,5,5,,,1,1,,,"Work, Shopping, Gyms, Health appointments, School run",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Longer journey times; increased and dangerous traffic on Newman Road; cars speeding on Littlemore Road,Yes,
"Cowley Road, Littlemore",,Yes,5,3,,,,,,,3,5,,,,,,,Work,1,No opinion,No opinion,Agree,No opinion,No opinion,No opinion,Kept as is,Lower traffic,None,Yes,Traffic [speed] cameras or speed bumps
"Cowley Road, Littlemore",,Yes,3,3,,,,,,,10,10,,,,,,,"Shopping, Health appointments, Caring responsibilities",1,No opinion,Agree,Agree,No opinion,No opinion,Agree,Kept with alterations,Less pollution; safer for residents; no rat runs,Local resident access; traffic volume elsewhere,No,"- Permit access for local residents on filters
- Need to install Bartholomew Road camera"
"Cowley Road, Littlemore",,Yes,24,24,,,,,,,Yes,Yes,,,,,,,"Work, Shopping, Health appointments, Caring responsibilities",5,No opinion,Agree,Remove,No opinion,No opinion,Remove,Removed,"Less traffic [on Cowley Road, Littlemore]","Our road [Cowley Road, Littlemore] becomes a car park for those living on the other side of the LTN as it offers quicker bypass access; used as a cut through to BBL as bus gate camera not up; real access problem if Newman Road is closed",Yes,Install Bartholomew Road camera
David Nicholls Close,Lawn Upton Close,Yes,0.5,0.5,,,,,,,16,16,,,30,30,,,,2,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Littlemore Road much safer to cycle on,Drivers angry,Yes,"- More frequent bus service with more routes (e.g. direct to JR)
- Segregated cycle lanes
- Remove on street parking
- Enforce speed limits (especially 20mph) and stop pavement parking
- Congestion charging inside ring road
- 20mph limit inside ring road"
David Nicholls Close,Lawn Upton Close,No,5,5,,,,,2,2,7,7,,,,,,,"Gyms, Health appointments, School run",4,Remove,Remove,Remove,Remove,Remove,Remove,Removed,Only benefit those who live in LTNs,Creating additional traffic and pollution on remaining through routes,No,"- Increase frequency of buses
- Provide medical and dental services in Littlemore
- Provide buses that go around city and not just through it
- Reduce cost of public transport"
David Nicholls Close,Lawn Upton Close,,3,3,,,,,,,,,,,,,,,"Shopping, Health appointments",5,No opinion,Remove,Remove,Remove,No opinion,Remove,Removed,Quieter streets for some,Having to drive further; increased traffic on other roads; very bad traffic when there is an accident or road works as no alternative routes,Yes,"- Improve frequency of 3A bus and 16 bus. (Rosehill has bus every 7 mins, Littlemore is 30 mins)
- Provide bus service along Sandford/Oxford Road on Sundays
- Make cycle route of footbridge to Rosehill, then through Rosehill Community Centre to Iffley Turn (quieter + safer route for pupils going to St Gregory's or for along river)"
David Nicholls Close,Lawn Upton Close,Yes,11,5,,,,,,,4,4,,,13,18,,,Shopping,,Agree,Agree,Agree,No opinion,No opinion,Agree,Kept as is,Quicker and safer for cycling,Increased congestion in other areas; cars blocking roads doing three-point turns when they were installed,No,No speed bumps; more cycle lanes
David Nicholls Close,Lawn Upton Close,,30,30,,,,,,,,,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Increase journey lengths; traffic displacements; detrimental to Templar's Square,,
David Nicholls Close,Lawn Upton Close,No,10,10,,,,,6,0,,,,,,,,,"Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"Longer, more hazardous journeys; more traffic on ring roads",No,"More frequent, more reliable bus service"
Dudgeon Drive,,No opinion,8,8,,,,,,,8,8,,,,,,,Work,5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Traffic forced onto ring road. Slightest problem means gridlock. Traffic blocks LM roundabout. Increased traffic on Cowley Centre / Church Cowley Road / Oxford Road,Yes,"Keep clear box on roundabout to allow north/south traffic to proceed when east/west traffic is solid. Let local people use all local roads. Improved bus services that cross town, e.g. Littlemore to Headington or North Oxford. Consult before imposing LTNs. Stop motorcycles using supposedly closed roads."
Dudgeon Drive,,Yes,10,10,,,,,,2,2,,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Removed,None,"Increased traffic on Oxford, Newman, Between Towns Roads. Journeys take longer.",Yes,"LTN should be removed from Bartholomew Road, Littlemore Road. All others don't affect traffic. Lorries should be stopped from using Oxford/Sandford Road. Recent modifications have increased noise due to lorries. I have to use a car because wife is disabled."
Dudgeon Drive,,Yes,12,12,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",5,No opinion,Agree,Remove,Remove,No opinion,Remove,Removed,None,Sending all traffic to main roads,Yes,
Dudgeon Drive,,Yes,10,10,,,,,,,3,3,,,2,2,,,"Work, Shopping, Gyms, Health appointments, School run, After school clubs",5,Remove,Remove,Remove,Remove,No opinion,No opinion,Removed,Less cars around a school,Cutting communities off from each other -- driving is sometimes the only option. Creating long queues of traffic on arterial routes -- increasing pollution with cars idling for long periods of time.,,"One way systems, e.g. Beauchamp could be one way. Better and safer cycle routes. Better public transport. LTNs poorly thought out, designer probably didn't live around here."
Dudgeon Drive,,Yes,20,20,3,3,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments, School run",4,No opinion,No opinion,Remove,No opinion,No opinion,No opinion,Don't know,,Causes buildup of traffic in places not equipped to deal with it,No,
Dudgeon Drive,,Yes,,,,,,,,,,,,,,,,,"Work, Shopping",2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Kept with alterations,Seems to reduce traffic and makes walking more pleasant,"E-scooters and motor scooters still present, so not really able to walk freely",No,HMOs shouldn't have cars (this is not enforced). Promote pedestrians and bikes ahead of motor traffic.
Dudgeon Drive,,No opinion,10,10,,,,,2,2,10,10,,,1,1,,,Shopping,2,Agree,Agree,Agree,Agree,Agree,Change,Kept with alterations,"Nicer walking in Cowley, feels much safer with children",Difficult to get to Blackbird Leys from Littlemore,No,"Bartholomew Road should be opened, but made right-turn only except buses at Barns Road junction. That would reduce traffic to Cowley but permit access to BBL without requiring a tedious long route."
Dudgeon Drive,,Yes,Same,Same,Same,Same,,,,,,,,,,,,,"Work, Shopping, Health appointments, School run",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,,"Increased traffic, stress, time wasting",No,Hire right experts for the job. No nepotism. The idea is illogical. The access roads are there fore a reason. Why block them.
Dudgeon Drive,,Yes,10,,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",3,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Kept with alterations,Reduce heavy traffic,In the wrong places,No,
